url,last_commit,stars
"https://github.com/attack68/book_irds3","2022-10-29","117"
"https://github.com/RichardS0268/Autoencoder-Asset-Pricing-Models","2025-08-17","143"
"https://github.com/shashankvemuri/Finance","2026-03-26","3772"
"https://github.com/ram-ki/101_formulaic_alphas","2022-07-11","46"
"https://github.com/jgatheral/RoughVolatilityWorkshop","2025-09-06","71"
"https://github.com/boyboi86/AFML","2024-09-05","816"
"https://github.com/usdaud/algotradinglib.github.io","2026-03-28","29"
"https://github.com/augiemazza/varrd","2026-04-06","13"
"https://github.com/vesper-astrena/polymarket-scanner-api","2026-03-14","2"
"https://github.com/EMen11/swiss-finance-data","2026-03-11","1"
"https://github.com/spfunctions/simplefunctions-cli","2026-04-12","5"
"https://github.com/PreReason/mcp","2026-04-12","0"
"https://github.com/cjroth/rebalance","2026-03-02","2"
"https://github.com/SilverstreamsAI/NexusFix","2026-04-10","43"
"https://github.com/Mattbusel/fin-primitives","2026-03-23","6"
"https://github.com/Mattbusel/fin-stream","2026-03-23","2"
"https://github.com/Mattbusel/Special-Relativity-in-Financial-Modeling","2026-03-23","6"
"https://github.com/vibeyclaw/awesome-sec-filings","2026-03-31","13"
"https://github.com/convexfi","",""
